Fecha;Item 1;item 2;Item 3;Item 4;Item 5;Item 6;Item 7;Item 8;Item 9;Item 10;Item 11;Item 12;Item 13;Item 14;Item 15;Item 16;Item 17;Item 18;Item 19;Item 20;Item 21;Item 22;Item 23;Item 24;Item 25;Item 26;Item 27;Item 28;Item 29;Item 30;Item 31;Item 32;Item 33;Item 34;Item 35;Item 36;Item 37;Item 38;Item 39;Item 40;Item 41;Item 42;Item 43;Item 44;Item 45;Item 46;Item 47;Item 48;Item 49;Item 50;Item 51;Item 52;Item 53;Item 54;Item 55;Item 56;Item 57;Item 58;Item 59;Item 60;Item 61;Item 62;Item 63;Item 64;Item 65;Item 66;Item 67;Item 68;Item 69;Item 70;Item 71;Item 72;Item 73;Item 74;Item 75;Item 76;Item 77;Item 78;Item 79;Item 80
13/02/2022;1784;1708;1656;14;22;60;22;15;95;108;30;19;40;12;104;0;30;0;0;0;1;453;0;90;0;141;1;0;0;116;30;2;0;7;0;0;17;0;106;0;0;50;2;0;0;0;0;0;300;0;15;0;0;0;0;0;0;1;0;0;0;540;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
20/02/2022;1592;1350;1408;8;25;-34;5;9;-49;60;0;21;44;3;41;7;37;0;-1;0;3;92;0;10;0;0;0;0;0;0;0;9;0;0;0;0;0;0;24;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;5
27/02/2022;1120;358;344;7;47;52;2;88;17;96;0;26;11;10;80;6;24;0;0;0;2;24;0;170;0;0;0;0;0;33;0;2;0;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;3;0;96;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
6/03/2022;364;703;468;0;61;42;13;53;23;974;350;55;20;51;52;23;4;0;0;35;29;6;0;410;18;83;0;10;0;87;60;18;1;7;0;0;17;0;8;0;0;0;1;1;0;0;0;0;300;0;8;0;0;0;0;0;0;0;0;4;0;362;0;0;1;0;0;0;0;0;0;0;0;18;0;2;0;0;0;0
13/03/2022;-200;0;384;3;3;200;4;17;10;0;52;8;10;1;154;0;25;0;0;0;2;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0
20/03/2022;1180;864;308;4;53;65;1;32;90;1056;180;20;7;0;56;2;20;0;0;7;23;3;2;180;2;115;0;0;0;66;0;8;0;15;0;0;0;0;160;0;2;0;7;0;0;1;0;0;0;1;15;0;0;0;0;0;0;0;0;6;0;12;0;0;1;0;0;0;0;0;0;0;0;124;0;3;0;0;0;0
27/03/2022;956;1840;1268;4;2;191;6;0;0;184;36;5;1;1;128;1;30;0;0;0;0;126;0;430;0;0;0;0;0;0;0;7;0;1;0;0;0;0;56;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;470;0;0;0;0;0;0;31;0;0;0;370;0;0
3/04/2022;616;1668;572;2;44;90;3;23;111;200;272;14;0;17;120;10;67;0;0;0;3;50;0;1010;0;0;0;0;0;0;0;0;0;5;0;0;0;0;368;0;0;100;1;0;0;0;0;0;0;0;2;21;0;0;0;0;4;0;0;0;0;84;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;700;0;0
10/04/2022;88;664;584;0;17;96;0;2;54;1728;210;7;7;0;84;0;20;0;0;55;8;20;5;270;0;0;0;0;0;0;0;18;1;2;0;0;0;0;0;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17/04/2022;16;104;0;2;16;6;1;0;0;300;46;5;15;2;0;6;0;0;3;3;0;9;0;40;0;0;0;3;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0;0;0;640;0;0;0;120;1;0;12;120;0;0;3012;0;120;0;0;244;0;0;3;234;0;0;0;4000;0
24/04/2022;540;818;412;1;0;30;2;0;7;624;952;1;5;2;-84;1;15;0;0;1;4;0;0;60;0;0;0;4;0;0;0;1;0;1;0;0;0;0;48;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1/05/2022;1697;2210;1813;35;30;626;29;0;0;1146;590;1;22;10;348;22;46;0;0;0;3;108;1;412;0;27;0;4;0;1;24;0;0;5;0;0;0;1;64;0;1;0;1;0;10116;1;0;0;40;0;2;4;0;0;4568;0;0;0;6;0;0;100;42;0;0;84;0;42;0;0;40;0;0;0;21;0;0;0;2580;0
8/05/2022;0;80;0;8;15;0;16;11;0;0;454;2;31;21;-12;4;0;0;0;0;0;0;3;0;0;0;0;13;0;0;0;20;0;0;0;0;0;0;0;0;1;2;1;0;4500;0;0;0;0;0;0;0;0;0;504;0;0;0;60;1;0;0;60;0;0;2004;-2;120;0;0;200;0;0;0;180;0;0;0;2000;0
15/05/2022;324;1008;847;11;8;32;6;5;0;852;400;18;26;6;25;5;60;0;0;0;4;0;0;410;0;0;0;0;0;3;0;3;0;3;0;0;0;0;24;0;0;0;0;0;0;0;264;0;600;0;0;0;0;480;0;0;0;0;0;1;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/05/2022;1392;1476;1821;5;11;84;9;52;8;400;852;9;40;53;307;11;80;0;21;0;9;108;0;330;0;0;0;0;0;0;0;8;0;19;0;0;0;0;8;0;0;6;2;0;0;1;0;0;224;0;7;0;0;0;0;0;0;0;0;6;0;100;0;0;0;0;0;0;0;0;0;0;0;605;0;0;0;0;0;0
29/05/2022;192;0;384;4;18;60;22;0;8;0;218;0;18;43;0;2;0;0;0;1;12;228;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17;1;0;0;0;10;19;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5/06/2022;920;1808;660;1;2;10;3;1;15;24;122;3;7;2;168;2;0;0;4;0;0;64;0;50;0;0;0;0;0;0;12;3;0;2;0;0;0;0;0;0;0;52;2;0;-1500;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0
12/06/2022;384;584;480;0;20;2;13;21;0;36;81;2;2;1;52;3;11;0;1;3;2;6;1;470;0;99;0;0;0;0;5;0;0;11;0;0;0;0;2;0;2;9;0;0;0;0;0;0;100;1;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
19/06/2022;1304;913;912;5;21;188;8;0;110;972;632;34;59;3;12;101;35;0;2;3;18;3;0;306;0;37;1;0;0;77;39;0;1;16;57;0;17;0;162;0;1;30;20;0;0;1;288;0;308;1;5;0;0;520;0;1;0;0;0;2;520;131;0;0;0;0;370;0;0;0;0;0;0;0;0;0;0;0;0;0
26/06/2022;1103;1961;933;2;-7;40;2;0;136;792;862;12;0;1;214;10;114;0;6;-1;3;32;0;564;0;84;0;0;0;48;10;37;0;19;0;0;0;0;368;0;0;4;0;0;1584;0;0;0;-150;0;34;0;0;0;384;0;0;0;60;1;0;36;60;1;0;1584;740;60;0;0;144;0;1;194;144;0;0;0;1920;0
3/07/2022;1352;1605;908;32;10;78;5;22;0;756;430;4;12;10;104;2;66;0;1;10;15;34;3;130;0;321;0;0;10;1;10;10;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1;5;0;0;0;0;0;0;0;0;3;0;96;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
10/07/2022;284;150;98;28;26;1;19;9;0;-65;0;26;30;0;-1;0;8;0;0;-1;6;0;0;420;0;2;0;0;2;18;0;6;0;0;1;0;0;0;-50;0;0;0;0;0;0;0;0;40;0;0;-12;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;400;0;0
17/07/2022;364;1279;368;19;27;14;34;37;0;144;270;0;0;5;0;14;42;0;0;0;6;13;1;520;0;24;0;0;0;6;0;-1;0;13;39;0;0;2;32;0;1;12;0;0;0;3;0;0;0;2;1;0;0;0;0;0;0;0;0;4;0;36;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24/07/2022;2583;289;1180;32;42;77;5;25;0;810;270;15;33;34;104;25;37;0;1;5;0;82;0;380;0;19;0;0;0;37;16;0;0;8;0;0;0;0;170;0;0;0;0;0;0;0;0;60;80;0;12;2;0;0;0;0;0;0;0;0;0;256;0;0;0;0;0;0;0;0;0;0;0;-186;0;0;0;0;0;0
31/07/2022;1553;2968;732;16;101;54;20;7;0;84;150;26;35;21;152;157;33;0;5;8;5;30;5;571;30;170;0;0;0;110;0;0;4;32;0;0;2;0;74;0;0;0;12;0;2376;0;0;40;450;0;32;0;0;0;1152;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;31;0;0;0;100;5760;0
7/08/2022;0;100;9;0;2;72;0;44;0;0;0;-3;0;1;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;26;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/08/2022;666;731;672;2;53;138;9;17;70;192;430;1;67;0;240;0;48;0;0;15;0;384;1;750;0;24;0;0;0;25;0;0;0;61;17;0;0;0;0;0;1;100;0;0;0;0;0;0;0;4;51;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;1
21/08/2022;499;1193;618;31;41;59;25;25;10;576;1634;7;24;3;70;0;37;0;0;14;0;63;1;370;0;55;0;9;0;78;0;0;0;20;0;0;0;0;4;0;1;0;65;0;0;0;0;0;24;0;14;0;0;0;0;0;0;0;0;2;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/08/2022;894;1086;652;1;85;88;12;34;40;761;569;24;45;12;15;0;25;0;0;20;13;6;0;400;0;66;0;11;0;174;0;0;0;68;0;0;20;0;144;0;0;50;6;0;0;0;0;-56;80;2;3;0;0;0;0;0;0;1;0;1;0;144;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4/09/2022;3901;1804;1724;8;12;89;4;4;92;232;1881;10;35;0;20;2;22;0;6;10;0;12;1;600;0;42;0;2;0;65;4;0;0;17;100;0;0;0;20;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;16;0;50;0;0;0;0;200;0;0;0;0;0;0;1;0;0;0;500;0;2
11/09/2022;340;228;420;4;7;61;0;4;29;425;472;-1;119;0;168;0;102;0;0;5;0;63;0;750;0;66;0;0;0;-19;0;0;1;12;0;0;0;1;8;0;1;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;2;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/09/2022;692;685;603;0;34;50;1;5;8;850;18;8;31;7;72;0;0;0;0;0;0;18;1;249;0;17;0;0;0;81;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;80;0;15;0;0;0;0;0;0;0;0;3;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/09/2022;1114;2096;500;55;44;41;5;31;19;468;32;22;14;14;60;0;56;0;0;4;0;77;0;200;0;24;0;7;16;135;0;0;3;3;0;0;0;1;48;0;0;0;0;0;120;1;0;36;20;1;11;0;0;0;112;0;1;0;30;3;0;108;25;0;0;288;200;70;0;0;20;0;0;0;111;0;0;0;80;0
2/10/2022;335;1059;867;11;40;238;59;2;123;1402;740;11;42;20;23;2;71;650;0;0;33;81;2;849;0;122;1;5;12;223;0;1;3;15;0;0;17;0;192;0;2;30;2;0;4008;0;0;0;20;0;25;0;0;0;464;0;1;0;120;8;0;76;120;0;0;1008;300;180;0;0;300;0;1;0;270;0;0;200;2000;0
9/10/2022;1234;2136;1152;9;0;0;7;1;1;0;100;0;8;2;0;0;522;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;36;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0
16/10/2022;2116;1456;1248;3;56;28;5;50;70;2408;0;9;20;5;100;0;19;0;2;0;4;56;2;0;0;0;0;0;0;5;0;0;1;2;0;0;0;1;124;0;0;20;0;0;0;1;240;0;270;0;25;0;0;0;0;0;1;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;200;0;0
23/10/2022;228;752;728;2;14;10;0;0;0;696;40;1;0;3;64;8;13;0;0;7;0;33;0;0;0;117;1;0;0;117;10;0;0;0;17;0;17;0;64;0;1;0;0;0;0;0;0;180;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
30/10/2022;2976;3479;2772;26;28;218;55;63;80;1090;100;25;82;25;174;0;92;0;3;9;2;304;0;200;0;97;0;22;0;30;65;11;1;0;0;0;40;1;112;0;0;0;14;0;0;0;0;60;120;1;8;0;0;0;0;0;2;1;0;0;0;36;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;400;0;1
6/11/2022;628;573;544;4;28;188;11;4;69;398;0;40;8;4;20;2;92;0;0;4;0;0;2;0;0;88;0;0;0;73;0;0;0;3;0;0;0;0;112;0;0;0;0;0;0;0;80;80;0;1;18;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/11/2022;344;579;344;3;0;40;2;0;46;348;0;18;0;13;45;0;11;0;0;0;0;159;0;0;15;0;1;13;15;46;0;0;0;0;17;0;17;2;16;0;1;0;0;0;0;0;0;0;60;0;12;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
20/11/2022;1012;1888;1040;2;7;124;6;0;49;7176;0;19;15;7;50;0;0;1130;0;10;0;63;0;760;0;360;0;8;0;54;0;20;0;0;0;0;0;1;88;0;1;0;5;0;0;0;0;20;240;2;7;0;0;0;0;0;1;0;0;0;0;408;0;0;0;0;200;0;0;0;0;0;0;40;0;0;0;150;0;0
27/11/2022;52;2113;1073;5;21;2;11;0;1;192;380;-2;0;1;0;0;0;70;8;0;0;0;2;540;0;48;0;2;0;34;0;26;0;0;68;0;17;4;16;0;3;54;0;0;0;0;96;0;0;4;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;830;0;0
4/12/2022;1884;1638;1368;45;51;106;8;30;65;4068;0;55;86;21;8;0;7;0;0;10;10;102;0;0;0;402;0;12;0;102;0;20;1;2;0;0;0;1;77;0;0;0;10;0;0;0;0;0;420;1;10;0;0;0;0;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;3
11/12/2022;108;302;398;5;14;38;2;20;27;10;600;10;0;0;0;0;0;0;0;4;0;0;4;100;0;24;0;0;0;-8;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;40;0;2;0;0;0;0;0;0;0;0;0;0;52;0;0;2;0;0;0;0;0;0;0;0;10;0;4;0;0;0;0
18/12/2022;1220;1032;796;4;17;190;13;65;90;684;58;47;76;24;60;38;40;0;0;0;0;0;1;0;0;141;0;0;0;50;65;6;0;10;0;0;0;0;144;0;1;25;0;0;0;0;0;0;60;2;3;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/12/2022;1568;129;132;0;20;105;6;13;16;604;0;21;70;1;96;0;0;0;0;0;0;0;2;0;0;48;1;0;20;14;0;1;0;0;0;0;0;0;72;0;1;0;0;1;0;0;0;0;120;2;14;40;0;0;0;1;0;0;0;3;0;108;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1/01/2023;1132;904;352;0;27;30;0;-9;20;0;300;5;0;0;100;2;0;55;0;0;0;80;0;0;0;160;0;0;0;60;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/01/2023;707;356;692;1;4;0;10;0;24;108;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;88;0;1;0;0;0;0;17;0;0;0;0;0;0;1;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;1;0;132;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0
15/01/2023;39;259;160;5;50;-1;11;34;74;270;102;0;50;6;152;50;0;1808;0;5;9;0;3;1910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;1;113;4;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
22/01/2023;724;2220;820;39;0;60;7;14;37;516;180;27;0;14;70;8;0;272;5;9;15;39;1;90;0;21;0;5;0;15;0;11;0;0;0;0;0;0;72;0;0;0;1;0;0;0;40;0;80;0;2;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0
29/01/2023;0;0;0;55;36;20;4;0;7;0;0;28;50;1;318;0;0;100;6;14;0;285;0;0;0;0;0;14;0;0;0;24;0;20;0;0;0;0;8;0;0;0;14;0;0;1;0;0;0;0;24;2;0;0;0;0;1;0;0;0;0;12;0;0;4;0;0;0;0;40;0;0;0;0;0;7;0;0;0;0
5/02/2023;2728;2234;2564;2;57;60;17;17;49;4920;24;55;153;2;37;60;0;0;10;16;30;0;0;0;0;371;0;16;0;0;0;25;0;20;0;0;0;0;40;0;2;40;26;0;0;0;408;0;240;0;2;0;0;1000;0;0;0;0;0;3;1200;300;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0
12/02/2023;536;1236;908;9;46;31;10;16;51;1572;1700;26;44;18;112;65;31;1500;0;9;10;72;1;1700;72;201;2;18;6;201;9;2;2;1;136;0;0;0;430;0;3;70;24;0;0;0;336;0;300;0;7;0;0;320;0;0;1;0;0;2;120;120;0;0;0;0;100;0;0;0;0;0;7;0;0;0;0;0;0;0
19/02/2023;0;160;96;1;4;0;5;0;16;384;1000;3;11;3;40;8;0;608;29;4;3;0;0;220;1;0;0;11;1;0;0;2;0;0;0;0;0;0;13;0;1;5;4;0;0;0;240;0;60;1;1;0;0;0;0;0;1;1;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/02/2023;660;1198;1126;3;121;43;18;0;229;3958;200;40;22;4;71;26;0;592;0;8;3;0;1;1180;0;0;0;12;0;59;15;11;0;0;0;0;0;0;74;0;0;0;10;0;0;1;0;0;40;1;18;0;0;0;0;0;1;0;0;1;0;120;0;0;0;0;198;0;0;0;0;0;0;0;0;2;0;0;0;0
5/03/2023;748;576;586;4;19;123;2;3;25;1260;400;18;54;15;22;28;142;360;6;4;7;0;0;0;0;27;0;5;0;3;9;1;0;3;40;0;0;0;36;0;0;0;7;0;120;0;0;0;300;0;5;0;0;0;104;0;0;0;30;8;0;96;21;0;2;0;0;40;0;0;40;0;0;0;60;8;0;0;0;1
12/03/2023;1108;884;390;1;8;0;0;1;0;660;34;11;10;4;0;0;0;0;0;0;1;411;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;100;1;6;1;0;0;0;0;0;0;0;1;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19/03/2023;516;1108;834;7;14;80;6;4;-180;168;1060;2;0;12;0;19;33;308;0;0;2;0;0;150;0;0;0;20;0;0;4;1;0;0;1;0;34;0;0;0;0;0;1;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;3;0;12;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;400;0;1
26/03/2023;368;914;600;7;6;60;9;0;205;408;2790;34;18;25;0;11;133;1562;1;13;14;116;0;1380;1;0;0;0;1;30;6;7;0;0;20;0;17;3;4;0;1;1;9;0;0;1;0;190;40;0;3;0;0;0;0;0;0;0;0;4;0;156;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;13
